_id,FISCAL_YEAR,CAR_CHC_ID,REFERENCE_NUMBER,SELECTION_PROCESS_NUMBER,CREATION_DATE,OPEN_DATE,CLOSE_DATE,DAYS_TO_OPEN,NUMBER_DAYS_OPEN,INTERNAL_INDICATOR,EXTERNAL_INDICATOR,POSITION_TITLE_E,POSITION_TITLE_F,CLASSIFICATIONS,CLASSIFICATION_COUNT,PSC_ADMIN,NATIONAL,EE_ORGANIZ_GENDER,EE_ORGANIZ_VISMIN,SCRNG_TOOL_OFFICIAL_LANGUAGE,SCRNG_TOOL_SCREENING_QUESTIONS,SCRNG_TOOL_TEXT_QUESTIONS,SCRNG_TOOL_EXP_QUESTIONNAIRE,SCRNG_TOOL_UIT,SCRNG_TOOL_EDUCATION,INDETERMINATE,SPECIFIED_TERM,ACTING,ASSIGNMENT,DEPLOYMENT,SECONDMENT,VARIOUS_WORK_LOCATION,PROV_CNT,CAF_SUBMITTED,CAF_IN,CAF_OUT,NOC,NAPA,NAA,administrator_region_e,administrator_region_f,advertisement_type_e,advertisement_type_f,city_count,city_name_e,city_name_f,organization_e,organization_f,organization_code,advertisement_url_e,advertisement_url_f,recruitment_program_e,recruitment_program_f,province_name_e,province_name_f,psea_e,psea_f,source_system_e,source_system_f,status_e,status_f,ee_criterion_gender,ee_criterion_indigenous,ee_criterion_vismin,ee_criterion_pwd,ee_organiz_pwd,ee_organiz_indigenous,TOTAL_SUBMITTED_SUP,TOTAL_IN_SUP,TOTAL_OUT_SUP,SCRNG_TOOL_OCC_CERT,women_submitted_SUP,vismin_submitted_SUP,indigenous_submitted_SUP,pwd_submitted_SUP,french_submitted_SUP,english_submitted_SUP,citizen_submitted_SUP,permanent_resident_submitted_SUP,ee_submitted_SUP
1605,2023-2024,1995587,DFO23J-109297-000045,23-DFO-GLF-EA-586375,05JUN2023,13JUN2023,29JUN2023,7,16,0,1,Regional Personel Security Officer,Agent(e) de sécurité du personnel régional,AS01,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Atlantic,Atlantique,Regular Advertisement,Affiche regulier,1,Moncton,Moncton,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995587&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995587&toggleLanguage=fr,JOP,POP,New Brunswick,Nouveau-Brunswick,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,65,49,16, ,23,6,*,7,46,19,51,*,31
1606,2023-2024,1995640,DOE23J-027882-000679,23-DOE-PYR-EA-586389,05JUN2023,28JUN2023,15AUG2023,22,48,0,1,Research Scientist - Climate (4 Streams),Chercheur scientifique - Climat (4 Volets),"SERES01,SERES02,SERES03,SERES04,SERES05",5,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Victoria,Victoria,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995640&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995640&toggleLanguage=fr,JOP,POP,British Columbia,Colombie-Britannique,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
1607,2023-2024,1995641,AGR23J-059095-000133,23-AGR-RAP-29,05JUN2023,09JUN2023,29JUN2023,3,20,0,1,PhD Student: Soil Fertility,Étudiant au doctorat : Fertilité des sols, , ,0,1,1,1,1,1, , , , , , , , , , ,0,1,0,0,0, , , ,Atlantic,Atlantique,Regular Advertisement,Affiche regulier,1,Quebec,Quebec,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AGR,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995641&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995641&toggleLanguage=fr,RAP,RAP,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,12,6,6, ,*,*,*,*,*,*,*,*,6
1608,2023-2024,1995713,MOT23J-085898-000195,23-MOT-IA-HRS-06626,05JUN2023,23JUN2023,07JUL2023,17,14,1,0,Executive Services Manager,Gestionnaire Services Exécutifs,AS04,1,0, ,0,0,1,1, , , , ,1, , , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Transport Canada,Transports Canada,MOT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995713&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995713&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,8,7,*, ,6,*,*,*,*,*,8,*,7
1609,2023-2024,1995733,AHS23J-038601-000122,23-AHS-HSRO-EA--355222,05JUN2023,05JUN2023,25JUN2023,0,20,0,1,Policy Analyst and Senior Policy Analyst,Analyste des politiques et Analysteprincipal(e) des politiques Numéro de référence,"EC05,EC06",2,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Ontario,Ontario,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Public Health Agency of Canada,Agence de la sante publique du Canada,AHS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995733&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995733&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,259,170,89, ,135,125,*,30,46,213,206,*,209
1610,2023-2024,1995804,AHS23J-038601-000123,23-AHS-HSRO-EA--355223,05JUN2023,05JUN2023,25JUN2023,0,20,0,1,Policy Analyst,Analyste des politiques,"EC03,EC04",2,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Ontario,Ontario,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Public Health Agency of Canada,Agence de la sante publique du Canada,AHS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995804&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995804&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,529,312,217, ,304,259,*,52,89,440,408,*,427
1611,2023-2024,1995816,SVC23J-021276-000247,2023-SVC-IA-HQ-580847-1,05JUN2023,06JUN2023,19JUN2023,0,13,1,0,NOTICE OF INTEREST - Office Manager for the Assistant Deputy Ministers,AVIS D'INTÉRÊT - Gestionnaire de bureau des sous-ministre adjoints,AS07,1,0, ,1,1,1,1, , , , , , ,1, , , ,0,1,0,0, , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995816&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995816&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,23,23,*, ,16,*,*,*,11,12,23,*,19
1612,2023-2024,1995819,SHC23J-106395-000105,23-NHW-HECS-EA-NCR-355367,05JUN2023,08JUN2023,06JUL2023,2,28,0,1,MEDICAL EPIDEMIOLOGIST,ÉPIDÉMIOLOGISTE MÉDICAL,MDMOF02,1,0,1,0,0,1,1, , , , ,1, , , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Health Canada,Sante Canada,SHC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995819&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995819&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,30,17,13, ,18,17,*,*,*,*,18,*,26
1613,2023-2024,1995849,DIS23J-022307-000310,23-DIS-ON-EA-586466,05JUN2023,22JUN2023,06JUL2023,16,14,0,1,Clinical Nurse Specialist,Infirmière clinicienne spécialisée/Infirmier clinicien spécialisé,NUCHN06,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Ontario,Ontario,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Indigenous Services Canada,Services aux Autochtones Canada,DIS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995849&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995849&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,23,18,5, ,18,8,*,*,*,*,21,*,20
1614,2023-2024,1995923,FRD23J-123495-000027,23-FRD-IA-586650,05JUN2023,07JUN2023,28JUN2023,1,21,1,0,Classification Advisor,Conseiller(ère) en Classification,PE04,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,0,1,0, ,0, , , ,Quebec,Québec,Regular Advertisement,Affiche regulier,1,Montreal Island,Ile de Montreal,Canada Economic Development for Quebec Regions,Developpement economique Canada pour les regions du Quebec,FRD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995923&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995923&toggleLanguage=fr,INT,INT,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
1615,2023-2024,1995985,RCM23J-021207-001104,23-RCM-EA-X-J-FRED-CDR-118390,05JUN2023,05JUN2023,18JUN2023,0,13,0,1,ANTICIPATORY - Human Resources Advisor,ANTICIPATOIRE- Conseiller(ière) en ressources humaines,PE03,1,0,1,0,0,1, , , , , ,1, , , , , ,0,1,0,0, , , , ,Atlantic,Atlantique,Regular Advertisement,Affiche regulier,1,Fredericton,Fredericton,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995985&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995985&toggleLanguage=fr,JOP,POP,New Brunswick,Nouveau-Brunswick,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,48,48,*, ,29,17,*,*,8,40,28,*,41
1616,2023-2024,1995986,RCM23J-018033-000220,23-RCM-IA-N-S-NCR-SPS/FSIS-118389,05JUN2023,08JUN2023,29JUN2023,2,21,1,0,Forensic Laboratory General Manager,Directeur général du laboratoire de judiciaire,CH05,1,0, ,0,0,1,1, , , , ,1, , ,1, , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Surrey,Surrey,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995986&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1995986&toggleLanguage=fr,INT,INT,British Columbia,Colombie-Britannique,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,8,6,*, ,*,*,*,*,*,*,8,*,
1617,2023-2024,1996019,SIF23J-023546-000257,23-24-SIF-IA-9713,05JUN2023,06JUN2023,15JUN2023,0,9,1,0,Chief of Staff,Chef de cabinet,"EX01,RE06",2,0, ,0,0,1,1, , , , ,1, , , , , ,0,1,1,1, , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financieres Canada,SIF,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996019&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996019&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,30,30,*, ,17,10,*,6,13,17,30,*,24
1618,2023-2024,1996082,OPC23J-021308-000359,23-OPC-IA-051,05JUN2023,14JUN2023,23JUN2023,8,9,1,0,"Manager, Financial Services","Gestionnaire, Services financiers",FI03,1,0, ,1,1,1,1, , , , ,1, , , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Gatineau,Gatineau,Office of the Privacy Commissioner of Canada,Commissariat a la protection de la vie privee du Canada,OPC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996082&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996082&toggleLanguage=fr,INT,INT,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,27,26,*, ,8,15,*,*,22,5,25,*,18
1619,2023-2024,1996103,GSS23J-022756-000504,23-GSS-QC-IA-CorpServ-26696,05JUN2023,15JUN2023,22JUN2023,9,7,1,0,Notice of Interest - Administrative Coordinator - Executive Services Division,Avis dIntérêt - Coordonnateur(trice) administratif(ive) - Division des services aux cadres,AS02,1,0, ,0,0,1, , , , , , , ,1, , , ,1,9,0,0, , , , ,Quebec,Québec,Regular Advertisement,Affiche regulier,18,MULTIPLE,MULTIPLE,Shared Services Canada,Services partages Canada,GSS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996103&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996103&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,68,68,*, ,57,21,*,7,41,27,66,*,64
1620,2023-2024,1996376,TBD23J-014677-013960,2023-TBD-IA-AO-161220,06JUN2023,09JUN2023,15JUN2023,2,6,1,0,"Support Analyst, Infrastructure and Operations","Analyste de soutien, Infrastructure et opérations",IT02,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,0,1,4,3,1, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Treasury Board of Canada Secretariat,Secretariat du Conseil du Tresor du Canada,TBD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996376&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996376&toggleLanguage=fr,INT,INT,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,88,78,10, ,17,37,*,5,32,56,77,*,48
1621,2023-2024,1996443,IRB23J-110495-000098,23-IRB-IA-AH-09-161155,06JUN2023,28JUN2023,04AUG2023,21,37,1,0,Senior Classification Advisor,Conseiller(ère) principal(e) en classification,PE04,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,1,4, , , , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,4,MULTIPLE,MULTIPLE,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de refugie du Canada,IRB,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996443&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996443&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
1622,2023-2024,1996556,RCM23J-021602-000182,23-RCM-EA-N-N-NCR-CMC-118424,06JUN2023,19JUN2023,26JUN2023,12,7,0,1,Fleet Operations Agent,Agent responsable de lexploitation du parc automobile,CR04,1,0,1,0,0,1,1, , , , ,1, , , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Ottawa,Ottawa,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996556&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996556&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,115,106,9, ,25,40,*,11,37,78,88,*,66
1623,2023-2024,1996568,DOE23J-027882-000682,23-DOE-RCN-EA-584881-1,06JUN2023,06JUN2023,27JUN2023,0,21,0,1,Physical Sciences Specialist (PC-03):  Modelling / Technical,Spécialiste des sciences physiques (PC-03) - Modélisation/Technique,PC03,1,0,1,0,0,1,1, , , , ,1, , , , , ,1,2,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,2,MULTIPLE,MULTIPLE,Environment and Climate Change Canada,Environnement et Changement climatique Canada,DOE,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996568&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996568&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,157,125,32, ,52,56,*,*,32,125,113,*,89
1624,2023-2024,1996628,GSS23J-022756-000507,23-GSS-QC-EA-CorpServ-24615-1,06JUN2023,06JUN2023,07JUN2023,0,1,0,1,"HR Advisor and Senior HR Advisor, Learning and Development","Conseiller(ère) en RH ET Conseiller(ère) principal(e) en RH, Apprentissage et perfectionnement","PE03,PE04",2,0,1,0,0,1,1, , , , ,1,1, , , , ,1,9,0,0,0, , , ,Quebec,Québec,Regular Advertisement,Affiche regulier,18,MULTIPLE,MULTIPLE,Shared Services Canada,Services partages Canada,GSS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996628&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996628&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,103,101,*, ,73,28,*,18,47,56,89,*,86
1625,2023-2024,1996701,BSF23J-019776-000019,2022-EA-OIM-FB-02-008-1,06JUN2023,15JUN2023,29JUN2023,8,14,0,1,Apply to the CBSA Officer Trainee (FB-02)  Developmental Program!,Postulez au poste dAgent(e) stagiaire de lASFC (FB-02)  Programme de perfectionnement !,FB02,1,0,0,0,0,1,1, , , , ,1, , , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Windsor,Windsor,Canada Border Services Agency,Agence des services frontaliers du Canada,BSF,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996701&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996701&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,1,1,1,1,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
1626,2023-2024,1996762,GSS23J-022756-000508,23-GSS-QC-IA-CorpServ-25314-1,06JUN2023,06JUN2023,13JUN2023,0,7,1,0,Project Coordinator - Temporary opportunity (AS-05),Coordinateur(trice) de projet - Opportunité temporaire (AS-05),AS05,1,0, ,0,0,1,1, , , , , , ,1, ,1, ,1,9,1,1, , , , ,Quebec,Québec,Regular Advertisement,Affiche regulier,18,MULTIPLE,MULTIPLE,Shared Services Canada,Services partages Canada,GSS,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996762&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996762&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,38,38,*, ,24,6,*,*,25,13,37,*,27
1627,2023-2024,1996837,MOT23J-009099-000098,21-MOT-EA-HRS-23225-a,06JUN2023,07JUN2023,29DEC2023,0,205,0,1,Senior Marine Safety Inspector,Inspecteur(trice) principal(e) de la sécurité maritime,TI07,1,0,1,1,1,1, ,1, , , ,1, , , , , ,1,1,0,0, , , , ,Ontario,Ontario,Inventory Advertisement,Affiche de repertoire,5,MULTIPLE,MULTIPLE,Transport Canada,Transports Canada,MOT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996837&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996837&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,15,15,*, ,*,5,*,*,*,*,8,*,5
1628,2023-2024,1996957,RSN23J-084208-000087,2023-RSN-EA-LMS-586670,06JUN2023,19JUN2023,18JUL2023,12,29,0,1,RAP Bursary - PhD on modelling at the pore scale,Bourse PAR - Doctorat sur la modélisation à léchelle des pores, , ,0,1,1,1,1, , , , , , , , , , , ,0,1,0,0, , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Quebec,Quebec,Natural Resources Canada,Ressources naturelles Canada,RSN,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996957&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996957&toggleLanguage=fr,RAP,RAP,Quebec,Québec,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
1629,2023-2024,1996972,SVC23J-118110-000015,2023-SVC-HQ-IA-586481,06JUN2023,14JUN2023,28JUN2023,7,14,1,0,Various AS-06 positions,Divers postes AS-06,AS06,1,0, ,1,1,1,1, , , , ,1,1,1,1,1, ,1,2,2,2,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,2,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996972&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1996972&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,174,165,9, ,122,39,6,13,117,57,172,*,138
1630,2023-2024,1997000,RCM23J-021311-000076,23-RCM-EA-N-S-NCR-DGHQ/NHQIS-118787,06JUN2023,19JUN2023,19JUN2024,12,366,0,1,Records Classifier / Reviewer,Réviseur(e)/ classificateur(trice) des dossiers,CR04,1,0,1,0,0,1,1, , , , ,1, , , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,1,Ottawa,Ottawa,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCM,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997000&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997000&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,193,188,5, ,112,69,5,18,15,178,167,*,151
1631,2023-2024,1997036,SIF23J-023546-000258,22-23-SIF-EA-9412,06JUN2023,14JUN2023,04JUL2023,7,20,0,1,Enterprise Architect,Architecte dentreprise,"IT05,RE07",2,0,1,0,0,1,1, , , , ,1, , , , , ,1,3,0,0,0, , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,3,MULTIPLE,MULTIPLE,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financieres Canada,SIF,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997036&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997036&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,19,16,*, ,*,*,*,*,7,12,13,*,7
1632,2023-2024,1997050,SVC23J-055998-000033,2023-SVC-IA-HQ-586865,06JUN2023,23JUN2023,04JUL2023,16,11,1,0,Senior Advisor,Conseiller principal,AS06,1,0, ,1,1,1,1, , , , , , ,1, , , ,0,1,0,0, , , , ,National Capital,Capitale Nationale,Regular Advertisement,Affiche regulier,1,Gatineau,Gatineau,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997050&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997050&toggleLanguage=fr,INT,INT,Quebec,Québec,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
1633,2023-2024,1997086,BSF23J-021528-000747,2023-IA-PAC-AS_01-962,06JUN2023,06JUN2023,13JUN2023,0,7,1,0,Administrative Assistant / Program Support,Adjoint administratif ou adjointe administrative / Soutien au programme,AS01,1,0, ,0,0,1,1, , , , ,1,1,1,1,1, ,1,1,0,0,0, , , ,British Columbia and Yukon,Colombie-Britannique et Yukon,Regular Advertisement,Affiche regulier,7,MULTIPLE,MULTIPLE,Canada Border Services Agency,Agence des services frontaliers du Canada,BSF,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997086&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997086&toggleLanguage=fr,INT,INT,British Columbia,Colombie-Britannique,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,113,109,*, ,79,69,*,6,*,*,98,*,103
1634,2023-2024,1997090,SVC23J-023733-000235,2023-SVC-QUE-EA-586696,06JUN2023,12JUN2023,11JUN2025,5,730,0,1,Print / Insertion Operator,Opérateur(trice) impression / insertion,DAPRO03,1,0,1,1,1,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,1,Quebec,Quebec,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997090&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1997090&toggleLanguage=fr,JOP,POP,Quebec,Québec,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,19,14,5, ,*,6,*,*,*,*,8,*,7
